Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,SHORT,2024-01-02 22:30,"45,041.1",22.381679,8095.45,0.81%,28438.16,2.84%,-1441.38,-0.14%,8095.45,0.81%
1,Entry long,LONG,2024-01-02 07:30,"44,679.4",22.381679,8095.45,0.81%,28438.16,2.84%,-1441.38,-0.14%,8095.45,0.81%
2,Exit short,Close entry(s) order SHORT,2024-01-03 09:00,"45,347.8",22.381679,-6864.46,-0.68%,9917.32,0.98%,-9133.96,-0.91%,1230.99,-0.68%
2,Entry short,SHORT,2024-01-02 22:30,"45,041.1",22.381679,-6864.46,-0.68%,9917.32,0.98%,-9133.96,-0.91%,1230.99,-0.68%
3,Exit long,SHORT,2024-01-04 02:00,"42,267.6",23.330832,-15092.71,-1.51%,3508.96,0.35%,-23202.51,-2.32%,-13861.72,-1.51%
3,Entry long,LONG,2024-01-04 01:00,"42,914.5",23.330832,-15092.71,-1.51%,3508.96,0.35%,-23202.51,-2.32%,-13861.72,-1.51%
4,Exit short,LONG,2024-01-04 07:00,"42,849.5",23.330832,-13576.21,-1.38%,2419.41,0.25%,-18020.73,-1.83%,-27437.93,-1.38%
4,Entry short,SHORT,2024-01-04 02:00,"42,267.6",23.330832,-13576.21,-1.38%,2419.41,0.25%,-18020.73,-1.83%,-27437.93,-1.38%
5,Exit long,SHORT,2024-01-04 09:00,"42,716.6",22.697162,-3016.45,-0.31%,3350.1,0.34%,-5095.51,-0.52%,-30454.39,-0.31%
5,Entry long,LONG,2024-01-04 07:00,"42,849.5",22.697162,-3016.45,-0.31%,3350.1,0.34%,-5095.51,-0.52%,-30454.39,-0.31%
6,Exit short,Close entry(s) order SHORT,2024-01-04 09:30,"42,897.3",22.697162,-4101.38,-0.42%,376.77,0.04%,-5858.14,-0.60%,-34555.77,-0.42%
6,Entry short,SHORT,2024-01-04 09:00,"42,716.6",22.697162,-4101.38,-0.42%,376.77,0.04%,-5858.14,-0.60%,-34555.77,-0.42%
7,Exit long,SHORT,2024-01-05 09:00,"43,373.5",21.727552,-23044.24,-2.39%,6963.68,0.72%,-46368.77,-4.80%,-57600,-2.39%
7,Entry long,LONG,2024-01-05 05:00,"44,434.1",21.727552,-23044.24,-2.39%,6963.68,0.72%,-46368.77,-4.80%,-57600,-2.39%
8,Exit short,LONG,2024-01-05 14:30,"43,870.5",21.727552,-10798.59,-1.15%,3910.96,0.41%,-12562.87,-1.33%,-68398.6,-1.15%
8,Entry short,SHORT,2024-01-05 09:00,"43,373.5",21.727552,-10798.59,-1.15%,3910.96,0.41%,-12562.87,-1.33%,-68398.6,-1.15%
9,Exit long,Close entry(s) order LONG,2024-01-05 23:30,"43,376.9",21.235356,-10481.77,-1.13%,9808.61,1.05%,-18485.38,-1.98%,-78880.37,-1.13%
9,Entry long,LONG,2024-01-05 14:30,"43,870.5",21.235356,-10481.77,-1.13%,9808.61,1.05%,-18485.38,-1.98%,-78880.37,-1.13%
10,Exit long,SHORT,2024-01-09 17:00,"46,497.8",20.982223,54507.62,5.92%,71591.34,7.77%,-5671.49,-0.62%,-24372.75,5.92%
10,Entry long,LONG,2024-01-08 14:00,"43,900.0",20.982223,54507.62,5.92%,71591.34,7.77%,-5671.49,-0.62%,-24372.75,5.92%
11,Exit short,LONG,2024-01-09 20:30,"46,639.8",20.982223,-2979.48,-0.31%,23034.29,2.36%,-12215.85,-1.25%,-27352.23,-0.31%
11,Entry short,SHORT,2024-01-09 17:00,"46,497.8",20.982223,-2979.48,-0.31%,23034.29,2.36%,-12215.85,-1.25%,-27352.23,-0.31%
12,Exit long,SHORT,2024-01-10 04:30,"45,889.7",20.854458,-15642.93,-1.61%,30451.68,3.13%,-46351.12,-4.77%,-42995.16,-1.61%
12,Entry long,LONG,2024-01-09 20:30,"46,639.8",20.854458,-15642.93,-1.61%,30451.68,3.13%,-46351.12,-4.77%,-42995.16,-1.61%
13,Exit short,LONG,2024-01-10 23:00,"45,569.4",20.854458,6679.68,0.70%,33329.59,3.48%,-9132.17,-0.95%,-36315.47,0.70%
13,Entry short,SHORT,2024-01-10 04:30,"45,889.7",20.854458,6679.68,0.70%,33329.59,3.48%,-9132.17,-0.95%,-36315.47,0.70%
14,Exit long,Close entry(s) order LONG,2024-01-11 13:30,"45,766.9",21.147992,4176.73,0.43%,45043.11,4.67%,-17963.1,-1.86%,-32138.75,0.43%
14,Entry long,LONG,2024-01-10 23:00,"45,569.4",21.147992,4176.73,0.43%,45043.11,4.67%,-17963.1,-1.86%,-32138.75,0.43%
15,Exit short,LONG,2024-01-13 13:30,"43,075.1",23.095731,-26994.29,-2.79%,110.86,0.01%,-29509.42,-3.05%,-59133.03,-2.79%
15,Entry short,SHORT,2024-01-13 05:30,"41,906.3",23.095731,-26994.29,-2.79%,110.86,0.01%,-29509.42,-3.05%,-59133.03,-2.79%
16,Exit long,SHORT,2024-01-13 17:30,"42,822.9",21.842583,-5508.7,-0.59%,4150.09,0.44%,-9698.11,-1.03%,-64641.73,-0.59%
16,Entry long,LONG,2024-01-13 13:30,"43,075.1",21.842583,-5508.7,-0.59%,4150.09,0.44%,-9698.11,-1.03%,-64641.73,-0.59%
17,Exit short,LONG,2024-01-13 22:30,"43,096.5",21.842478,-5976.1,-0.64%,6838.88,0.73%,-6155.21,-0.66%,-70617.84,-0.64%
17,Entry short,SHORT,2024-01-13 17:30,"42,822.9",21.842478,-5976.1,-0.64%,6838.88,0.73%,-6155.21,-0.66%,-70617.84,-0.64%
18,Exit long,Close entry(s) order LONG,2024-01-14 07:00,"42,846.4",21.565041,-5393.42,-0.58%,3814.86,0.41%,-8481.53,-0.91%,-76011.25,-0.58%
18,Entry long,LONG,2024-01-13 22:30,"43,096.5",21.565041,-5393.42,-0.58%,3814.86,0.41%,-8481.53,-0.91%,-76011.25,-0.58%
19,Exit long,Close entry(s) order LONG,2024-01-16 06:30,"42,536.9",21.701593,-870.23,-0.09%,17339.57,1.88%,-9136.37,-0.99%,-76881.48,-0.09%
19,Entry long,LONG,2024-01-15 11:30,"42,577.0",21.701593,-870.23,-0.09%,17339.57,1.88%,-9136.37,-0.99%,-76881.48,-0.09%
20,Exit long,SHORT,2024-01-17 20:30,"42,645.1",21.57565,-3022.75,-0.33%,30.21,0.00%,-4412.22,-0.48%,-79904.23,-0.33%
20,Entry long,LONG,2024-01-17 20:00,"42,785.2",21.57565,-3022.75,-0.33%,30.21,0.00%,-4412.22,-0.48%,-79904.23,-0.33%
21,Exit short,LONG,2024-01-18 03:00,"42,617.6",21.57565,593.33,0.06%,9603.32,1.04%,-6252.62,-0.68%,-79310.91,0.06%
21,Entry short,SHORT,2024-01-17 20:30,"42,645.1",21.57565,593.33,0.06%,9603.32,1.04%,-6252.62,-0.68%,-79310.91,0.06%
22,Exit long,Close entry(s) order LONG,2024-01-18 11:00,"42,594.0",21.603595,-509.84,-0.06%,5437.63,0.59%,-3750.38,-0.41%,-79820.75,-0.06%
