Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,LONG,11/27/2019 23:00,"7,304.22",141.58349,-34158.43,-3.42%,31567.46,3.16%,-42905.46,-4.29%,-34158.43,-3.42%
1,Entry short,SHORT,11/27/2019 13:00,"7,062.96",141.58349,-34158.43,-3.42%,31567.46,3.16%,-42905.46,-4.29%,-34158.43,-3.42%
2,Exit long,SHORT,11/29/2019 6:00,"7,387.89",132.17965,11059.47,1.15%,46365.98,4.80%,-12442.07,-1.29%,-23098.96,1.15%
2,Entry long,LONG,11/27/2019 23:00,"7,304.22",132.17965,11059.47,1.15%,46365.98,4.80%,-12442.07,-1.29%,-23098.96,1.15%
3,Exit short,LONG,11/29/2019 12:00,"7,473.01",132.23005,-11255.42,-1.15%,3687.9,0.38%,-17143.63,-1.75%,-34354.38,-1.15%
3,Entry short,SHORT,11/29/2019 6:00,"7,387.89",132.23005,-11255.42,-1.15%,3687.9,0.38%,-17143.63,-1.75%,-34354.38,-1.15%
4,Exit long,SHORT,11/30/2019 19:00,"7,656.23",129.23875,23679.12,2.45%,48721.72,5.04%,-7755.62,-0.80%,-10675.26,2.45%
4,Entry long,LONG,11/29/2019 12:00,"7,473.01",129.23875,23679.12,2.45%,48721.72,5.04%,-7755.62,-0.80%,-10675.26,2.45%
5,Exit short,LONG,12/1/2019 22:00,"7,391.57",129.21826,34198.91,3.46%,57661.06,5.83%,-7871.98,-0.80%,23523.65,3.46%
5,Entry short,SHORT,11/30/2019 19:00,"7,656.23",129.21826,34198.91,3.46%,57661.06,5.83%,-7871.98,-0.80%,23523.65,3.46%
6,Exit long,SHORT,12/1/2019 23:00,"7,306.21",138.46994,-11819.79,-1.15%,2678.01,0.26%,-17177.19,-1.68%,11703.85,-1.15%
6,Entry long,LONG,12/1/2019 22:00,"7,391.57",138.46994,-11819.79,-1.15%,2678.01,0.26%,-17177.19,-1.68%,11703.85,-1.15%
7,Exit short,LONG,12/2/2019 5:00,"7,366.75",138.47177,-8383.08,-0.83%,4288.47,0.42%,-10633.25,-1.05%,3320.77,-0.83%
7,Entry short,SHORT,12/1/2019 23:00,"7,306.21",138.47177,-8383.08,-0.83%,4288.47,0.42%,-10633.25,-1.05%,3320.77,-0.83%
8,Exit long,SHORT,12/2/2019 14:00,"7,254.55",136.1992,-15281.55,-1.52%,9542.12,0.95%,-29371.36,-2.93%,-11960.78,-1.52%
8,Entry long,LONG,12/2/2019 5:00,"7,366.75",136.1992,-15281.55,-1.52%,9542.12,0.95%,-29371.36,-2.93%,-11960.78,-1.52%
9,Exit short,LONG,12/2/2019 21:00,"7,307.46",136.19579,-7206.12,-0.73%,10015.84,1.01%,-15587.61,-1.58%,-19166.9,-0.73%
9,Entry short,SHORT,12/2/2019 14:00,"7,254.55",136.19579,-7206.12,-0.73%,10015.84,1.01%,-15587.61,-1.58%,-19166.9,-0.73%
10,Exit long,SHORT,12/3/2019 1:00,"7,285.99",134.23574,-2882.04,-0.29%,6784.27,0.69%,-8208.52,-0.84%,-22048.94,-0.29%
10,Entry long,LONG,12/2/2019 21:00,"7,307.46",134.23574,-2882.04,-0.29%,6784.27,0.69%,-8208.52,-0.84%,-22048.94,-0.29%
11,Exit short,LONG,12/3/2019 6:00,"7,326.12",134.22349,-5386.39,-0.55%,3441.49,0.35%,-8591.65,-0.88%,-27435.33,-0.55%
11,Entry short,SHORT,12/3/2019 1:00,"7,285.99",134.22349,-5386.39,-0.55%,3441.49,0.35%,-8591.65,-0.88%,-27435.33,-0.55%
12,Exit long,SHORT,12/3/2019 13:00,"7,276.60",132.72097,-6572.34,-0.68%,9805.42,1.01%,-8507.41,-0.87%,-34007.67,-0.68%
12,Entry long,LONG,12/3/2019 6:00,"7,326.12",132.72097,-6572.34,-0.68%,9805.42,1.01%,-8507.41,-0.87%,-34007.67,-0.68%
