d,open,high,low,close
2023-01-01T07:00:00+07:00,16541.77,16545.7,16508.39,16529.67
2023-01-01T08:00:00+07:00,16529.59,16556.8,16525.78,16551.47
2023-01-01T09:00:00+07:00,16551.47,16559.77,16538.14,16548.19
2023-01-01T10:00:00+07:00,16548.19,16548.19,16518.21,16533.04
2023-01-01T11:00:00+07:00,16533.04,16535.97,16511.92,16521.85
2023-01-01T12:00:00+07:00,16522.22,16534.98,16512.3,16530.71
2023-01-01T13:00:00+07:00,16530.71,16550,16528.81,16539.79
2023-01-01T14:00:00+07:00,16539.79,16544.57,16499.01,16526.19
2023-01-01T15:00:00+07:00,16525.7,16534.03,16508.45,16513.34
2023-01-01T16:00:00+07:00,16513.33,16542.49,16505.2,16537.88
2023-01-01T17:00:00+07:00,16538.32,16548.71,16533.42,16548.34
2023-01-01T18:00:00+07:00,16547.98,16557,16540.2,16556.66
2023-01-01T19:00:00+07:00,16556.66,16572.94,16548.58,16560.93
2023-01-01T20:00:00+07:00,16561.29,16567.26,16539.05,16548.04
2023-01-01T21:00:00+07:00,16547.61,16558.56,16540.85,16542.94
2023-01-01T22:00:00+07:00,16542.94,16559.99,16533.68,16558.73
2023-01-01T23:00:00+07:00,16558.73,16584.66,16558,16565.14
2023-01-02T00:00:00+07:00,16565.13,16596.64,16562.51,16578.85
2023-01-02T01:00:00+07:00,16579.25,16603.89,16578.85,16591.88
2023-01-02T02:00:00+07:00,16591.35,16623.65,16591.34,16603.08
2023-01-02T03:00:00+07:00,16603.53,16628,16600.55,16604.51
2023-01-02T04:00:00+07:00,16604.51,16608.83,16592.63,16606.68
2023-01-02T05:00:00+07:00,16607.02,16613.85,16586.24,16602.12
2023-01-02T06:00:00+07:00,16602.39,16625,16600.8,16616.75
2023-01-02T07:00:00+07:00,16617.17,16629.05,16581.25,16588.35
2023-01-02T08:00:00+07:00,16587.97,16589.2,16548.7,16565.04
2023-01-02T09:00:00+07:00,16565.03,16595.92,16555,16587.85
2023-01-02T10:00:00+07:00,16587.99,16707.25,16581.8,16661.94
2023-01-02T11:00:00+07:00,16662.38,16674.84,16629.29,16639.44
2023-01-02T12:00:00+07:00,16639.74,16662.94,16619.44,16647.58
2023-01-02T13:00:00+07:00,16648.37,16663.27,16635.93,16641.1
2023-01-02T14:00:00+07:00,16641.1,16769.51,16637.44,16721.28
2023-01-02T15:00:00+07:00,16721.27,16772.01,16707.52,16733.71
2023-01-02T16:00:00+07:00,16733.71,16745.68,16710.54,16717.5
2023-01-02T17:00:00+07:00,16717.5,16762.86,16708.68,16727.95
2023-01-02T18:00:00+07:00,16727.72,16741.72,16704.07,16735.11
2023-01-02T19:00:00+07:00,16735.51,16746.29,16719.3,16721.54
2023-01-02T20:00:00+07:00,16721.96,16725.6,16685,16694.78
2023-01-02T21:00:00+07:00,16695.12,16710.41,16669.15,16698.69
2023-01-02T22:00:00+07:00,16698.69,16750,16692.01,16734.66
2023-01-02T23:00:00+07:00,16734.66,16739.64,16708.23,16710.88
2023-01-03T00:00:00+07:00,16710.69,16723,16707.12,16715.42
2023-01-03T01:00:00+07:00,16715.42,16731.71,16707.47,16723.81
2023-01-03T02:00:00+07:00,16723.64,16738.22,16715.88,16737.56
2023-01-03T03:00:00+07:00,16737.56,16738.23,16709.29,16728.52
2023-01-03T04:00:00+07:00,16728.52,16799.23,16718.41,16757.76
2023-01-03T05:00:00+07:00,16757.76,16763.78,16690.18,16698.4
2023-01-03T06:00:00+07:00,16698.4,16722.98,16660.51,16672.87
2023-01-03T07:00:00+07:00,16672.78,16706.14,16647.81,16695.59
2023-01-03T08:00:00+07:00,16695.59,16696.04,16651.42,16677.6
2023-01-03T09:00:00+07:00,16677.6,16688.53,16671.6,16674.03
2023-01-03T10:00:00+07:00,16674.04,16700.28,16666.91,16691.81
2023-01-03T11:00:00+07:00,16691.81,16699.63,16681.79,16685.64
2023-01-03T12:00:00+07:00,16685.21,16727.72,16683.31,16725.5
2023-01-03T13:00:00+07:00,16725.5,16778.4,16722.31,16727.58
2023-01-03T14:00:00+07:00,16727.58,16732.64,16707.57,16729.74
2023-01-03T15:00:00+07:00,16730.15,16735.84,16698.15,16715.22
2023-01-03T16:00:00+07:00,16714.77,16766,16714,16741.31
2023-01-03T17:00:00+07:00,16741.22,16749.1,16721.89,16724.32
2023-01-03T18:00:00+07:00,16724,16737.58,16709.87,16721.03
2023-01-03T19:00:00+07:00,16721.42,16728.02,16703,16710.85
2023-01-03T20:00:00+07:00,16710.85,16739.93,16709.41,16725.53
2023-01-03T21:00:00+07:00,16725.53,16773,16631.95,16661.23
2023-01-03T22:00:00+07:00,16662.08,16683.45,16617.79,16676.94
2023-01-03T23:00:00+07:00,16677.54,16688.2,16611.3,16622.58
2023-01-04T00:00:00+07:00,16621.93,16644,16605.28,16633.65
2023-01-04T01:00:00+07:00,16633.15,16653.53,16626.8,16645.08
2023-01-04T02:00:00+07:00,16644.51,16657.54,16622.41,16643.37
