time,open,high,low,close,Buy4,Sell4,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Mua4 khung lớn,SELL4 khung lớn
2024-01-01T07:00:00+07:00,42314,42603.2,42289.6,42458.5,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T07:30:00+07:00,42458.4,42527.2,42386.2,42503.5,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T08:00:00+07:00,42503.5,42554.9,42462,42524.8,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T08:30:00+07:00,42524.9,42832,42524.8,42647.9,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T09:00:00+07:00,42647.9,42676.9,42562.3,42575.6,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T09:30:00+07:00,42575.6,42647.6,42530,42620.4,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T10:00:00+07:00,42620.5,42630,42449,42466.9,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T10:30:00+07:00,42466.9,42493,42270,42369.8,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T11:00:00+07:00,42369.8,42414.2,42235.2,42342.9,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T11:30:00+07:00,42342.9,42439.8,42316.5,42436.6,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T12:00:00+07:00,42436.6,42440,42325.4,42326.3,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T12:30:00+07:00,42326.2,42358.1,42207.9,42272.6,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T13:00:00+07:00,42272.6,42382.3,42239.1,42349.6,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T13:30:00+07:00,42349.1,42461.3,42337.6,42423.3,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T14:00:00+07:00,42423.4,42536,42421.7,42524.9,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T14:30:00+07:00,42524.9,42535.9,42461.3,42527,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T15:00:00+07:00,42527.1,42577,42489.4,42519.9,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T15:30:00+07:00,42520,42597.3,42492.8,42588.2,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T16:00:00+07:00,42588.2,42700,42570,42622.9,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T16:30:00+07:00,42622.9,42734.2,42622.9,42688.8,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T17:00:00+07:00,42688.8,42750,42661.1,42703.7,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T17:30:00+07:00,42703.7,42795,42699.9,42727.7,0,0,NaN,NaN,0,NaN,NaN,0,0
2024-01-01T18:00:00+07:00,42727.7,42800,42686.8,42715,0,0,NaN,NaN,0,53.828546134358916,NaN,0,0
2024-01-01T18:30:00+07:00,42715,42743.7,42638,42727.6,0,0,NaN,NaN,0,52.38626671521917,NaN,0,0
2024-01-01T19:00:00+07:00,42727.7,42777.7,42651.1,42724.1,0,0,NaN,NaN,0,50.32826873944656,NaN,0,0
2024-01-01T19:30:00+07:00,42724.1,42825.2,42681.5,42682,0,0,NaN,NaN,0,32.71714486284209,NaN,0,0
2024-01-01T20:00:00+07:00,42682,42770,42647.9,42752.7,0,0,NaN,NaN,0,24.46055104992964,37.5171480322769,0,0
2024-01-01T20:30:00+07:00,42752.7,42787.5,42701.4,42753.9,0,0,NaN,-3.219787164503071,0,19.574372820048985,29.793887138840137,0,0
2024-01-01T21:00:00+07:00,42753.8,42755.8,42615,42658.3,0,0,NaN,-4.037103683850702,0,6.650745011156657,20.046361863393255,0,0
2024-01-01T21:30:00+07:00,42658.3,42700,42614.5,42645.6,0,0,NaN,-4.80207565963541,0,-4.641586486771577,9.583760868907806,0,0
2024-01-01T22:00:00+07:00,42645.5,42772,42617.6,42715,0,0,NaN,-4.83195142570813,0,-7.229604868525901,1.9231440955854515,0,0
2024-01-01T22:30:00+07:00,42715.1,42887.5,42630.1,42818,0,0,NaN,-3.971767029519576,0,-1.3345624427940055,-1.1093418870684046,0,0
2024-01-01T23:00:00+07:00,42818,42898.9,42693.1,42753,0,0,NaN,-3.094561105303722,0,-0.518666475309055,-2.1501883143790335,0,0
2024-01-01T23:30:00+07:00,42753.1,42818.9,42732.9,42759.7,0,0,NaN,-2.280012747103285,0,-0.799607264250031,-1.9451457183127845,0,0
2024-01-02T00:00:00+07:00,42759.7,42817,42753.9,42765.9,0,0,NaN,-1.5236464144885957,0,-1.0503804752458272,-1.327004040884689,0,0
2024-01-02T00:30:00+07:00,42765.9,42860.8,42734.8,42847,0,0,NaN,-0.47761178216112654,0,4.892778136606752,1.0327767730592161,0,0
2024-01-02T01:00:00+07:00,42847,43268,42847,43096.2,0,0,2.3474315715374843,NaN,0,14.018474207689158,5.62629741035508,0,0
2024-01-02T01:30:00+07:00,43096.1,43221.9,43052.1,43148,0,0,4.970686114257628,NaN,0,22.77019803222938,12.113523545798808,0,0
2024-01-02T02:00:00+07:00,43148,43359.9,43133.3,43300.4,0,0,7.769723163092117,NaN,0,32.69556208921282,20.35661339973445,0,0
2024-01-02T02:30:00+07:00,43300.4,43593.2,43270,43556.2,0,0,10.820154816634904,NaN,0,44.0031418889558,30.135885230020232,0,0
2024-01-02T03:00:00+07:00,43556.2,43815,43548.5,43750.5,0,0,13.956415279235863,NaN,0,54.50899755246929,40.413540790530405,0,0
2024-01-02T03:30:00+07:00,43750.3,43915.5,43678.3,43753.3,0,0,16.981608695810415,NaN,0,62.27584110530131,49.972396240927075,0,0
2024-01-02T04:00:00+07:00,43753.2,43853,43680.6,43706.7,0,0,19.79071686834392,NaN,0,62.55669520685143,56.40771193199965,0,0
2024-01-02T04:30:00+07:00,43706.6,43713,43531.8,43679.8,0,0,20.869407140378385,NaN,0,61.25474908595267,59.75661243779782,0,0
2024-01-02T05:00:00+07:00,43679.7,43723.8,43426,43528.4,0,0,20.923730158591383,NaN,0,54.02257620633298,58.79084285060678,0,0
2024-01-02T05:30:00+07:00,43528.3,43592.7,43503.5,43583.9,0,0,20.974172961217732,NaN,0,48.01339506582879,55.15405059542253,0,0
2024-01-02T06:00:00+07:00,43584,44100,43583.9,44059.2,0,0,22.224349562274718,NaN,0,47.206583246897694,51.68136123303729,0,0
2024-01-02T06:30:00+07:00,44059.2,44266,43989,44230.2,0,0,23.64637282896384,NaN,0,49.35942870856492,49.93090421510136,1,0
2024-01-02T07:00:00+07:00,44230.3,44971,44200.9,44679.4,1,0,25.704105730434165,NaN,0,53.442194928624204,50.42118703707095,0,0
2024-01-02T07:30:00+07:00,44679.4,45376,44615,45179.8,0,0,27.876837713048253,NaN,0,59.09204466329681,53.315590047753325,0,0
2024-01-02T08:00:00+07:00,45179.7,45485.7,44921,45002.5,0,0,29.955463117632576,NaN,0,58.94699588006574,55.82367890022774,0,0
2024-01-02T08:30:00+07:00,45002.4,45090.7,44750,44926.3,0,0,30.966921803765402,NaN,0,56.720805865013496,56.86079769340228,0,0
2024-01-02T09:00:00+07:00,44926.5,45167.7,44926.5,45167.3,0,0,31.97923585639709,NaN,0,55.91933992042943,56.99647966384108,0,0
2024-01-02T09:30:00+07:00,45167.4,45428,45120.6,45420,0,0,33.1488556402836,NaN,0,56.22298641586978,56.796049718635686,0,0
2024-01-02T10:00:00+07:00,45420,45549.2,45167.3,45353.8,0,0,34.33241042754993,NaN,0,55.321071151344164,56.10959525277206,0,0
2024-01-02T10:30:00+07:00,45353.7,45565,45339.2,45435,0,0,35.444317198201624,NaN,0,55.232154766115194,55.64490022596229,0,0
2024-01-02T11:00:00+07:00,45434.9,45484.4,45265.2,45400.8,0,0,36.04260143777049,NaN,0,55.161077823685545,55.40416895927266,0,0
2024-01-02T11:30:00+07:00,45400.8,45402.2,45193.1,45211.7,0,0,36.17386422368357,NaN,0,50.61995496107922,53.753711941136125,0,0
2024-01-02T12:00:00+07:00,45211.5,45366,45153,45294.3,0,0,36.05562475236213,NaN,0,47.2094552270684,51.31971400895267,0,0
2024-01-02T12:30:00+07:00,45294.2,45356.8,45174.8,45218.2,0,0,35.94583095756364,NaN,0,42.55968592939608,47.93669505679853,0,0
2024-01-02T13:00:00+07:00,45218.2,45320.5,45163.9,45283.4,0,0,35.77022202566555,NaN,0,39.3769852224235,44.3435348837834,0,0
2024-01-02T13:30:00+07:00,45283.5,45346.2,45202.8,45202.9,0,0,35.65504248254825,NaN,0,34.8448327967503,40.29666853845665,0,0
