Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,SHORT,2025-04-28 15:50,"94,587.8",10.665984,8870.9,0.89%,10973.16,1.10%,-865.01,-0.09%,8870.9,0.89%
1,Entry long,LONG,2025-04-28 10:25,"93,756.1",10.665984,8870.9,0.89%,10973.16,1.10%,-865.01,-0.09%,8870.9,0.89%
2,Exit short,LONG,2025-04-28 16:35,"94,744.7",10.665972,-1673.49,-0.17%,520.5,0.05%,-2708.09,-0.27%,7197.41,-0.17%
2,Entry short,SHORT,2025-04-28 15:50,"94,587.8",10.665972,-1673.49,-0.17%,520.5,0.05%,-2708.09,-0.27%,7197.41,-0.17%
3,Exit long,SHORT,2025-04-28 17:05,"94,648.2",10.630668,-1025.86,-0.10%,692.06,0.07%,-1134.29,-0.11%,6171.55,-0.10%
3,Entry long,LONG,2025-04-28 16:35,"94,744.7",10.630668,-1025.86,-0.10%,692.06,0.07%,-1134.29,-0.11%,6171.55,-0.10%
4,Exit short,LONG,2025-04-28 17:40,"95,100.0",10.630646,-4802.93,-0.48%,4135.32,0.41%,-5290.87,-0.53%,1368.62,-0.48%
4,Entry short,SHORT,2025-04-28 17:05,"94,648.2",10.630646,-4802.93,-0.48%,4135.32,0.41%,-5290.87,-0.53%,1368.62,-0.48%
5,Exit long,Close entry(s) order LONG,2025-04-28 19:15,"95,070.8",10.52966,-307.47,-0.03%,4106.57,0.41%,-1495.21,-0.15%,1061.16,-0.03%
5,Entry long,LONG,2025-04-28 17:40,"95,100.0",10.52966,-307.47,-0.03%,4106.57,0.41%,-1495.21,-0.15%,1061.16,-0.03%
6,Exit short,LONG,2025-04-28 23:45,"93,977.4",10.537252,10797.52,1.08%,17227.35,1.72%,-1377.22,-0.14%,11858.68,1.08%
6,Entry short,SHORT,2025-04-28 20:30,"95,002.1",10.537252,10797.52,1.08%,17227.35,1.72%,-1377.22,-0.14%,11858.68,1.08%
7,Exit long,SHORT,2025-04-29 00:20,"93,638.4",10.767042,-3650.03,-0.36%,1.08,0.00%,-4150.69,-0.41%,8208.65,-0.36%
7,Entry long,LONG,2025-04-28 23:45,"93,977.4",10.767042,-3650.03,-0.36%,1.08,0.00%,-4150.69,-0.41%,8208.65,-0.36%
8,Exit short,Close entry(s) order SHORT,2025-04-29 00:45,"93,837.9",10.767042,-2148.02,-0.21%,2282.61,0.23%,-2215.86,-0.22%,6060.63,-0.21%
8,Entry short,SHORT,2025-04-29 00:20,"93,638.4",10.767042,-2148.02,-0.21%,2282.61,0.23%,-2215.86,-0.22%,6060.63,-0.21%
9,Exit short,Close entry(s) order SHORT,2025-04-29 05:10,"94,589.2",10.642337,-590.65,-0.06%,3077.76,0.31%,-1527.18,-0.15%,5469.98,-0.06%
9,Entry short,SHORT,2025-04-29 03:20,"94,533.7",10.642337,-590.65,-0.06%,3077.76,0.31%,-1527.18,-0.15%,5469.98,-0.06%
10,Exit short,LONG,2025-04-29 07:45,"95,133.2",10.603997,-3322.23,-0.33%,0,0.00%,-3612.78,-0.36%,2147.74,-0.33%
10,Entry short,SHORT,2025-04-29 07:20,"94,819.9",10.603997,-3322.23,-0.33%,0,0.00%,-3612.78,-0.36%,2147.74,-0.33%
11,Exit long,SHORT,2025-04-29 09:05,"94,687.9",10.534153,-4690.86,-0.47%,2975.9,0.30%,-6061.35,-0.60%,-2543.11,-0.47%
11,Entry long,LONG,2025-04-29 07:45,"95,133.2",10.534153,-4690.86,-0.47%,2975.9,0.30%,-6061.35,-0.60%,-2543.11,-0.47%
12,Exit short,LONG,2025-04-29 13:20,"94,595.3",10.534153,975.46,0.10%,5623.13,0.56%,-2446.03,-0.25%,-1567.65,0.10%
12,Entry short,SHORT,2025-04-29 09:05,"94,687.9",10.534153,975.46,0.10%,5623.13,0.56%,-2446.03,-0.25%,-1567.65,0.10%
13,Exit long,SHORT,2025-04-29 15:55,"94,786.2",10.554777,2014.91,0.20%,4815.09,0.48%,-702.95,-0.07%,447.26,0.20%
13,Entry long,LONG,2025-04-29 13:20,"94,595.3",10.554777,2014.91,0.20%,4815.09,0.48%,-702.95,-0.07%,447.26,0.20%
14,Exit short,Close entry(s) order SHORT,2025-04-29 16:00,"94,983.2",10.554777,-2079.29,-0.21%,1.06,0.00%,-2096.18,-0.21%,-1632.04,-0.21%
14,Entry short,SHORT,2025-04-29 15:55,"94,786.2",10.554777,-2079.29,-0.21%,1.06,0.00%,-2096.18,-0.21%,-1632.04,-0.21%
15,Exit short,Close entry(s) order SHORT,2025-04-29 18:20,"95,180.0",10.524879,-3390.06,-0.34%,1660.83,0.17%,-4011.03,-0.40%,-5022.1,-0.34%
15,Entry short,SHORT,2025-04-29 16:15,"94,857.9",10.524879,-3390.06,-0.34%,1660.83,0.17%,-4011.03,-0.40%,-5022.1,-0.34%
16,Exit short,Close entry(s) order SHORT,2025-04-29 21:15,"94,845.8",10.467622,2166.8,0.22%,6137.17,0.62%,-876.14,-0.09%,-2855.3,0.22%
16,Entry short,SHORT,2025-04-29 18:50,"95,052.8",10.467622,2166.8,0.22%,6137.17,0.62%,-876.14,-0.09%,-2855.3,0.22%
17,Exit short,LONG,2025-04-30 06:50,"94,234.3",10.628636,-4437.46,-0.45%,1467.81,0.15%,-4486.35,-0.45%,-7292.76,-0.45%
17,Entry short,SHORT,2025-04-30 06:10,"93,816.8",10.628636,-4437.46,-0.45%,1467.81,0.15%,-4486.35,-0.45%,-7292.76,-0.45%
18,Exit long,SHORT,2025-04-30 11:40,"94,873.5",10.534435,6733.61,0.68%,9645.33,0.97%,-1610.72,-0.16%,-559.15,0.68%
18,Entry long,LONG,2025-04-30 06:50,"94,234.3",10.534435,6733.61,0.68%,9645.33,0.97%,-1610.72,-0.16%,-559.15,0.68%
19,Exit short,LONG,2025-04-30 12:05,"94,928.0",10.534457,-574.13,-0.06%,202.26,0.02%,-1733.97,-0.17%,-1133.27,-0.06%
19,Entry short,SHORT,2025-04-30 11:40,"94,873.5",10.534457,-574.13,-0.06%,202.26,0.02%,-1733.97,-0.17%,-1133.27,-0.06%
20,Exit long,SHORT,2025-04-30 12:45,"94,955.6",10.522339,290.42,0.03%,1523.63,0.15%,-432.47,-0.04%,-842.86,0.03%
20,Entry long,LONG,2025-04-30 12:05,"94,928.0",10.522339,290.42,0.03%,1523.63,0.15%,-432.47,-0.04%,-842.86,0.03%
21,Exit short,Close entry(s) order SHORT,2025-04-30 16:05,"94,724.1",10.522361,2435.93,0.24%,5401.13,0.54%,-46.3,0.00%,1593.07,0.24%
21,Entry short,SHORT,2025-04-30 12:45,"94,955.6",10.522361,2435.93,0.24%,5401.13,0.54%,-46.3,0.00%,1593.07,0.24%
22,Exit long,SHORT,2025-04-30 19:30,"94,879.3",10.550648,-554.96,-0.06%,2686.2,0.27%,-1147.91,-0.11%,1038.11,-0.06%
22,Entry long,LONG,2025-04-30 17:45,"94,931.9",10.550648,-554.96,-0.06%,2686.2,0.27%,-1147.91,-0.11%,1038.11,-0.06%
