Log
"Candle 21341: time=2025-06-08 07:00:00, high=105556.15, low=105410.23, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21342: time=2025-06-08 08:00:00, high=105495.99, low=105367.88, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21343: time=2025-06-08 09:00:00, high=105405.8, low=105075.51, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21344: time=2025-06-08 10:00:00, high=105481.24, low=104964.14, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21345: time=2025-06-08 11:00:00, high=105720.94, low=105357.63, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21346: time=2025-06-08 12:00:00, high=105773.6, low=105520.25, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21347: time=2025-06-08 13:00:00, high=106160.19, low=105577.36, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21348: time=2025-06-08 14:00:00, high=105910.17, low=105577.36, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21349: time=2025-06-08 15:00:00, high=106095.85, low=105818.18, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21350: time=2025-06-08 16:00:00, high=106320.77, low=105943.91, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=107551.7274"
"Candle 21351: time=2025-06-08 17:00:00, high=106360.0, low=106081.59, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=104066.1902"
"Candle 21352: time=2025-06-08 18:00:00, high=106325.59, low=106020.46, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=104066.1902"
"Candle 21353: time=2025-06-08 19:00:00, high=106335.9, low=106180.85, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=104066.1902"
"Candle 21354: time=2025-06-08 20:00:00, high=106319.92, low=106118.72, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=104066.1902"
"Candle 21355: time=2025-06-08 21:00:00, high=106488.14, low=106147.65, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=104066.1902"
"Candle 21356: time=2025-06-08 22:00:00, high=106360.85, low=105674.7, trailingActive=False, BE_reached=False, TS_reached=False, trailingSL=104066.1902"
