num,side,entryIdx,exitIdx,entryDt,exitDt,entryPrice,exitPrice,exitType,pnlPctOrigin,pnlPct,sl,be,tsTrig,tsStep
3337,SHORT,21340,21350,2025-06-08 06:00:00,2025-06-08 16:00:00,105442.87,105984.53,EXIT,-0.5136999780070511,-0.5136999780070511,2.0,1.2,1.0,1.6
3338,LONG,21350,21360,2025-06-08 16:00:00,2025-06-09 02:00:00,106189.99,105527.71,EXIT,-0.6236746043577166,-0.6236746043577166,2.0,1.2,1.0,1.6
3339,SHORT,21360,21368,2025-06-09 02:00:00,2025-06-09 10:00:00,105560.89,106612.53,EXIT,-0.9962401794831395,-0.9962401794831395,2.0,1.2,1.0,1.6
3340,LONG,21368,21397,2025-06-09 10:00:00,2025-06-10 15:00:00,107179.7,108620.0,EXIT,1.3438179058161228,1.3438179058161228,2.0,1.2,1.0,1.6
3341,SHORT,21397,21403,2025-06-10 15:00:00,2025-06-10 21:00:00,109015.42,109960.01,EXIT,-0.8664737520618612,-0.8664737520618612,2.0,1.2,1.0,1.6
3342,LONG,21403,21412,2025-06-10 21:00:00,2025-06-11 06:00:00,109863.07,109468.04,EXIT,-0.35956577583351107,-0.35956577583351107,2.0,1.2,1.0,1.6
3343,SHORT,21412,21466,2025-06-11 06:00:00,2025-06-13 12:00:00,109595.01,105039.48,EXIT,4.15669472542591,4.15669472542591,2.0,1.2,1.0,1.6
3344,LONG,21466,21468,2025-06-13 12:00:00,2025-06-13 14:00:00,104852.29,104732.82,EXIT,-0.11394124057756547,-0.11394124057756547,2.0,1.2,1.0,1.6
3345,SHORT,21468,21469,2025-06-13 14:00:00,2025-06-13 15:00:00,104970.74,104970.74,EXIT,0.0,0.0,2.0,1.2,1.0,1.6
3346,LONG,21469,21482,2025-06-13 15:00:00,2025-06-14 04:00:00,105436.87,105228.83,EXIT,-0.1973123822814482,-0.1973123822814482,2.0,1.2,1.0,1.6
3347,SHORT,21482,21501,2025-06-14 04:00:00,2025-06-14 23:00:00,105371.07,105428.75,EXIT,-0.05473988258825977,-0.05473988258825977,2.0,1.2,1.0,1.6
3348,LONG,21501,21513,2025-06-14 23:00:00,2025-06-15 11:00:00,105414.64,105119.99,EXIT,-0.2795152551865606,-0.2795152551865606,2.0,1.2,1.0,1.6
3349,SHORT,21513,21517,2025-06-15 11:00:00,2025-06-15 15:00:00,104970.51,105657.63,EXIT,-0.6545838445483497,-0.6545838445483497,2.0,1.2,1.0,1.6
3350,LONG,21517,21523,2025-06-15 15:00:00,2025-06-15 21:00:00,105564.0,104729.53,EXIT,-0.790487287332804,-0.790487287332804,2.0,1.2,1.0,1.6
