Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,Close entry(s) order SHORT,1/3/2024 8:30,0.0013557,722334585.4,20586.54,2.06%,46590.58,4.66%,-18202.83,-1.82%,20586.54,2.06%
1,Entry short,SHORT,1/2/2024 20:00,0.0013842,722334585.4,20586.54,2.06%,46590.58,4.66%,-18202.83,-1.82%,20586.54,2.06%
2,Exit short,LONG,1/3/2024 23:30,0.0012573,831367331.4,-24774.75,-2.43%,63849.01,6.26%,-30677.45,-3.01%,-4188.21,-2.43%
2,Entry short,SHORT,1/3/2024 20:00,0.0012275,831367331.4,-24774.75,-2.43%,63849.01,6.26%,-30677.45,-3.01%,-4188.21,-2.43%
3,Exit long,SHORT,1/4/2024 2:00,0.0011868,791894904.2,-55828.59,-5.61%,0,0.00%,-67707.02,-6.80%,-60016.8,-5.61%
3,Entry long,LONG,1/3/2024 23:30,0.0012573,791894904.2,-55828.59,-5.61%,0,0.00%,-67707.02,-6.80%,-60016.8,-5.61%
4,Exit short,Close entry(s) order SHORT,1/4/2024 11:30,0.0012124,792031680.6,-20276.01,-2.16%,12989.32,1.38%,-30334.81,-3.23%,-80292.81,-2.16%
4,Entry short,SHORT,1/4/2024 2:00,0.0011868,792031680.6,-20276.01,-2.16%,12989.32,1.38%,-30334.81,-3.23%,-80292.81,-2.16%
5,Exit long,Close entry(s) order LONG,1/10/2024 14:30,0.0011778,756400351.5,-28970.13,-3.15%,12480.61,1.36%,-39105.9,-4.25%,-109262.94,-3.15%
5,Entry long,LONG,1/10/2024 5:30,0.0012161,756400351.5,-28970.13,-3.15%,12480.61,1.36%,-39105.9,-4.25%,-109262.94,-3.15%
6,Exit long,Close entry(s) order LONG,1/10/2024 19:30,0.0011939,700099861.7,-54817.82,-6.15%,17082.44,1.92%,-65809.39,-7.39%,-164080.77,-6.15%
6,Entry long,LONG,1/10/2024 17:00,0.0012722,700099861.7,-54817.82,-6.15%,17082.44,1.92%,-65809.39,-7.39%,-164080.77,-6.15%
7,Exit short,Close entry(s) order SHORT,1/13/2024 13:00,0.0012351,659814693.2,20718.18,2.48%,72843.54,8.72%,-1781.5,-0.21%,-143362.58,2.48%
7,Entry short,SHORT,1/13/2024 5:00,0.0012665,659814693.2,20718.18,2.48%,72843.54,8.72%,-1781.5,-0.21%,-143362.58,2.48%
8,Exit short,Close entry(s) order SHORT,1/15/2024 5:30,0.0012277,707088251.1,-11384.12,-1.33%,9050.73,1.06%,-16333.74,-1.91%,-154746.7,-1.33%
8,Entry short,SHORT,1/15/2024 3:00,0.0012116,707088251.1,-11384.12,-1.33%,9050.73,1.06%,-16333.74,-1.91%,-154746.7,-1.33%
9,Exit long,Close entry(s) order LONG,1/16/2024 5:00,0.001214,686416514,-11806.36,-1.40%,5491.33,0.65%,-13728.33,-1.62%,-166553.06,-1.40%
9,Entry long,LONG,1/16/2024 1:30,0.0012312,686416514,-11806.36,-1.40%,5491.33,0.65%,-13728.33,-1.62%,-166553.06,-1.40%
10,Exit long,SHORT,1/19/2024 0:30,0.0011681,703746458.9,-11471.07,-1.38%,6755.97,0.81%,-30542.6,-3.66%,-178024.14,-1.38%
10,Entry long,LONG,1/18/2024 22:30,0.0011844,703746458.9,-11471.07,-1.38%,6755.97,0.81%,-30542.6,-3.66%,-178024.14,-1.38%
11,Exit short,Close entry(s) order SHORT,1/19/2024 13:30,0.0011359,703686211.8,22658.7,2.76%,45528.5,5.54%,-140.74,-0.02%,-155365.44,2.76%
11,Entry short,SHORT,1/19/2024 0:30,0.0011681,703686211.8,22658.7,2.76%,45528.5,5.54%,-140.74,-0.02%,-155365.44,2.76%
12,Exit long,Close entry(s) order LONG,1/22/2024 15:00,0.0011128,757451851.9,-1742.14,-0.21%,1287.67,0.15%,-6514.09,-0.77%,-157107.58,-0.21%
12,Entry long,LONG,1/22/2024 14:30,0.0011151,757451851.9,-1742.14,-0.21%,1287.67,0.15%,-6514.09,-0.77%,-157107.58,-0.21%
13,Exit long,Close entry(s) order LONG,1/24/2024 3:30,0.0010152,829700187.8,-497.82,-0.06%,11781.74,1.40%,-8214.03,-0.97%,-157605.4,-0.06%
13,Entry long,LONG,1/23/2024 23:30,0.0010158,829700187.8,-497.82,-0.06%,11781.74,1.40%,-8214.03,-0.97%,-157605.4,-0.06%
14,Exit short,LONG,1/27/2024 17:30,0.0010887,785449511.1,-12724.28,-1.51%,2434.89,0.29%,-15473.35,-1.84%,-170329.69,-1.51%
14,Entry short,SHORT,1/27/2024 14:30,0.0010725,785449511.1,-12724.28,-1.51%,2434.89,0.29%,-15473.35,-1.84%,-170329.69,-1.51%
15,Exit long,Close entry(s) order LONG,1/28/2024 2:30,0.0010858,762074325.9,-2210.02,-0.27%,8001.78,0.96%,-6020.39,-0.73%,-172539.7,-0.27%
15,Entry long,LONG,1/27/2024 17:30,0.0010887,762074325.9,-2210.02,-0.27%,8001.78,0.96%,-6020.39,-0.73%,-172539.7,-0.27%
16,Exit long,Close entry(s) order LONG,1/30/2024 5:30,0.0010703,766592832.1,-6899.34,-0.83%,4062.94,0.49%,-12035.51,-1.45%,-179439.03,-0.83%
16,Entry long,LONG,1/30/2024 0:00,0.0010793,766592832.1,-6899.34,-0.83%,4062.94,0.49%,-12035.51,-1.45%,-179439.03,-0.83%
17,Exit short,Close entry(s) order SHORT,2/1/2024 16:30,0.000917,883558703,10337.64,1.26%,37374.53,4.55%,-15020.5,-1.83%,-169101.39,1.26%
17,Entry short,SHORT,2/1/2024 2:30,0.0009287,883558703,10337.64,1.26%,37374.53,4.55%,-15020.5,-1.83%,-169101.39,1.26%
18,Exit long,SHORT,2/4/2024 14:00,0.0009015,917207864.4,-4127.44,-0.50%,7154.22,0.86%,-9080.36,-1.09%,-173228.83,-0.50%
18,Entry long,LONG,2/4/2024 10:00,0.000906,917207864.4,-4127.44,-0.50%,7154.22,0.86%,-9080.36,-1.09%,-173228.83,-0.50%
19,Exit short,Close entry(s) order SHORT,2/4/2024 15:30,0.0009053,917106110.7,-3485,-0.42%,4677.24,0.57%,-4126.98,-0.50%,-176713.83,-0.42%
19,Entry short,SHORT,2/4/2024 14:00,0.0009015,917106110.7,-3485,-0.42%,4677.24,0.57%,-4126.98,-0.50%,-176713.83,-0.42%
20,Exit short,LONG,2/15/2024 4:30,0.0012268,694053419.2,-28247.97,-3.43%,0,0.00%,-51637.57,-6.27%,-204961.81,-3.43%
20,Entry short,SHORT,2/15/2024 1:30,0.0011861,694053419.2,-28247.97,-3.43%,0,0.00%,-51637.57,-6.27%,-204961.81,-3.43%
21,Exit long,Close entry(s) order LONG,2/15/2024 15:00,0.0012388,647949128.9,7775.39,0.98%,53909.37,6.78%,-8488.13,-1.07%,-197186.42,0.98%
21,Entry long,LONG,2/15/2024 4:30,0.0012268,647949128.9,7775.39,0.98%,53909.37,6.78%,-8488.13,-1.07%,-197186.42,0.98%
22,Exit long,Close entry(s) order LONG,2/18/2024 21:30,0.0011943,687988329,18713.28,2.33%,38320.95,4.77%,-9219.04,-1.15%,-178473.14,2.33%
22,Entry long,LONG,2/18/2024 0:30,0.0011671,687988329,18713.28,2.33%,38320.95,4.77%,-9219.04,-1.15%,-178473.14,2.33%
23,Exit short,Close entry(s) order SHORT,2/21/2024 1:00,0.0011563,719879831.5,-10870.19,-1.32%,143.98,0.02%,-11518.08,-1.40%,-189343.33,-1.32%
23,Entry short,SHORT,2/21/2024 0:30,0.0011412,719879831.5,-10870.19,-1.32%,143.98,0.02%,-11518.08,-1.40%,-189343.33,-1.32%
24,Exit short,Close entry(s) order SHORT,2/22/2024 4:30,0.0011363,734623179.2,-24095.64,-2.97%,1910.02,0.24%,-24095.64,-2.97%,-213438.97,-2.97%
24,Entry short,SHORT,2/22/2024 1:30,0.0011035,734623179.2,-24095.64,-2.97%,1910.02,0.24%,-24095.64,-2.97%,-213438.97,-2.97%
25,Exit short,Close entry(s) order SHORT,2/24/2024 12:00,0.0011939,610399688,57865.89,7.36%,85211.8,10.83%,-4822.16,-0.61%,-155573.08,7.36%
25,Entry short,SHORT,2/23/2024 21:00,0.0012887,610399688,57865.89,7.36%,85211.8,10.83%,-4822.16,-0.61%,-155573.08,7.36%
26,Exit long,Close entry(s) order LONG,2/27/2024 22:30,0.0021476,580521743.7,402301.56,47.64%,501686.9,59.41%,-16138.5,-1.91%,246728.5,47.64%
26,Entry long,LONG,2/26/2024 20:30,0.0014546,580521743.7,402301.56,47.64%,501686.9,59.41%,-16138.5,-1.91%,246728.5,47.64%
27,Exit long,Close entry(s) order LONG,2/28/2024 12:00,0.0027229,556525532.1,268579.22,21.54%,409435.84,32.84%,-5064.38,-0.41%,515307.72,21.54%
27,Entry long,LONG,2/28/2024 0:00,0.0022403,556525532.1,268579.22,21.54%,409435.84,32.84%,-5064.38,-0.41%,515307.72,21.54%
28,Exit short,Close entry(s) order SHORT,3/3/2024 3:00,0.0042975,339382230.1,56812.59,3.75%,185574.2,12.25%,-7771.85,-0.51%,572120.3,3.75%
28,Entry short,SHORT,3/2/2024 18:30,0.0044649,339382230.1,56812.59,3.75%,185574.2,12.25%,-7771.85,-0.51%,572120.3,3.75%
29,Exit long,Close entry(s) order LONG,4/5/2024 3:30,0.0068766,224249037.7,-30071.8,-1.91%,42450.34,2.70%,-48056.57,-3.06%,542048.5,-1.91%
29,Entry long,LONG,4/4/2024 14:00,0.0070107,224249037.7,-30071.8,-1.91%,42450.34,2.70%,-48056.57,-3.06%,542048.5,-1.91%
30,Exit long,Close entry(s) order LONG,4/8/2024 7:30,0.0073456,214417601.7,32955.98,2.14%,73609.56,4.77%,-6539.74,-0.42%,575004.5,2.14%
30,Entry long,LONG,4/7/2024 18:30,0.0071919,214417601.7,32955.98,2.14%,73609.56,4.77%,-6539.74,-0.42%,575004.5,2.14%
31,Exit short,Close entry(s) order SHORT,4/10/2024 12:30,0.0069961,224968503.5,1124.84,0.07%,53430.02,3.39%,-3734.48,-0.24%,576129.3,0.07%
31,Entry short,SHORT,4/10/2024 9:30,0.0070011,224968503.5,1124.84,0.07%,53430.02,3.39%,-3734.48,-0.24%,576129.3,0.07%
32,Exit short,Close entry(s) order SHORT,4/10/2024 21:00,0.0068172,233055247.9,-12608.29,-0.80%,14426.12,0.92%,-13936.7,-0.88%,563521.06,-0.80%
32,Entry short,SHORT,4/10/2024 20:30,0.0067631,233055247.9,-12608.29,-0.80%,14426.12,0.92%,-13936.7,-0.88%,563521.06,-0.80%
33,Exit long,Close entry(s) order LONG,4/12/2024 14:30,0.0072319,209539521.4,-48298.86,-3.09%,25186.65,1.61%,-53809.75,-3.44%,515222.2,-3.09%
33,Entry long,LONG,4/12/2024 1:00,0.0074624,209539521.4,-48298.86,-3.09%,25186.65,1.61%,-53809.75,-3.44%,515222.2,-3.09%
34,Exit short,Close entry(s) order SHORT,4/14/2024 11:30,0.0052418,273995440.8,78965.48,5.21%,485382.94,32.03%,-24440.39,-1.61%,594187.7,5.21%
34,Entry short,SHORT,4/13/2024 23:30,0.00553,273995440.8,78965.48,5.21%,485382.94,32.03%,-24440.39,-1.61%,594187.7,5.21%
35,Exit long,Close entry(s) order LONG,4/28/2024 2:30,0.00711,222816843.9,-10004.48,-0.63%,5503.58,0.35%,-13569.55,-0.85%,584183.2,-0.63%
35,Entry long,LONG,4/28/2024 2:00,0.0071549,222816843.9,-10004.48,-0.63%,5503.58,0.35%,-13569.55,-0.85%,584183.2,-0.63%
36,Exit short,Close entry(s) order SHORT,5/7/2024 5:00,0.0085212,188136335.2,-19001.77,-1.20%,19697.88,1.24%,-47353.91,-2.99%,565181.44,-1.20%
36,Entry short,SHORT,5/6/2024 20:30,0.0084202,188136335.2,-19001.77,-1.20%,19697.88,1.24%,-47353.91,-2.99%,565181.44,-1.20%
37,Exit long,Close entry(s) order LONG,5/9/2024 4:00,0.0077161,194029953.6,-67988.09,-4.34%,36361.21,2.32%,-84500.05,-5.40%,497193.34,-4.34%
37,Entry long,LONG,5/8/2024 21:30,0.0080665,194029953.6,-67988.09,-4.34%,36361.21,2.32%,-84500.05,-5.40%,497193.34,-4.34%
38,Exit short,Close entry(s) order SHORT,5/11/2024 7:30,0.0085761,178786431.1,-36025.46,-2.41%,31216.11,2.08%,-49094.75,-3.28%,461167.88,-2.41%
